%time,field.header.seq,field.header.stamp,field.header.frame_id,field.quality,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone_number,field.zone_letter
1697468820052730233,1,161338799999999,GPS1_Frame,4,42.33879852294922,-71.0848159790039,7.0920000076293945,328255.90625,4689498.5,19,T
1697468820755924697,2,161339799999999,GPS1_Frame,4,42.33880615234375,-71.08480834960938,7.111999988555908,328256.59375,4689499.5,19,T
1697468821458818167,3,161340799999999,GPS1_Frame,5,42.33881378173828,-71.08479309082031,7.1620001792907715,328257.78125,4689500.5,19,T
1697468822162125080,4,161341799999999,GPS1_Frame,5,42.33882141113281,-71.08478546142578,7.1579999923706055,328258.625,4689501.0,19,T
1697468822865352509,5,161342799999999,GPS1_Frame,5,42.338829040527344,-71.08477020263672,7.1529998779296875,328259.40625,4689502.0,19,T
1697468823568402599,6,161343799999999,GPS1_Frame,5,42.338836669921875,-71.08476257324219,7.1529998779296875,328260.1875,4689503.0,19,T
1697468824271444029,7,161344799999999,GPS1_Frame,5,42.338844299316406,-71.08475494384766,7.126999855041504,328261.03125,4689504.0,19,T
1697468824974520266,8,161345799999999,GPS1_Frame,5,42.33885192871094,-71.08474731445312,7.085999965667725,328261.75,4689504.5,19,T
1697468825677496376,9,161346799999999,GPS1_Frame,5,42.33885955810547,-71.0847396850586,7.066999912261963,328262.5625,4689505.5,19,T
1697468826381036522,10,161347799999999,GPS1_Frame,5,42.338871002197266,-71.08472442626953,7.077000141143799,328263.4375,4689506.5,19,T
1697468827083930905,11,161348799999999,GPS1_Frame,5,42.3388786315918,-71.084716796875,7.078000068664551,328264.3125,4689507.0,19,T
1697468827787273098,12,161349799999999,GPS1_Frame,5,42.33888626098633,-71.08470916748047,7.048999786376953,328265.09375,4689508.0,19,T
1697468828489512783,13,161350799999999,GPS1_Frame,5,42.33889389038086,-71.0846939086914,7.054999828338623,328265.9375,4689509.0,19,T
1697468829192729450,14,161351799999999,GPS1_Frame,5,42.33890151977539,-71.08468627929688,7.059999942779541,328266.8125,4689510.0,19,T
1697468829896210798,15,161352799999999,GPS1_Frame,5,42.33890914916992,-71.08467864990234,7.0269999504089355,328267.71875,4689511.0,19,T
1697468830599410696,16,161353799999999,GPS1_Frame,5,42.33891677856445,-71.08466339111328,7.0279998779296875,328268.53125,4689511.5,19,T
1697468831302873525,17,161354799999999,GPS1_Frame,5,42.338924407958984,-71.08465576171875,7.065000057220459,328269.40625,4689512.5,19,T
1697468832006123878,18,161355799999999,GPS1_Frame,5,42.33893585205078,-71.08464813232422,7.065000057220459,328270.1875,4689513.5,19,T
1697468832709193196,19,161356799999999,GPS1_Frame,5,42.33894348144531,-71.08463287353516,7.033999919891357,328271.09375,4689514.5,19,T
1697468833412260154,20,161357799999999,GPS1_Frame,5,42.338951110839844,-71.08462524414062,7.0289998054504395,328271.96875,4689515.5,19,T
1697468834115251469,21,161358799999999,GPS1_Frame,5,42.338958740234375,-71.0846176147461,7.065000057220459,328272.75,4689516.5,19,T
1697468834817440998,22,161359799999999,GPS1_Frame,5,42.33897018432617,-71.08460235595703,7.031000137329102,328273.59375,4689517.0,19,T
1697468835520643125,23,161400799999999,GPS1_Frame,5,42.3389778137207,-71.0845947265625,6.989999771118164,328274.5,4689518.0,19,T
1697468836223571713,24,161401799999999,GPS1_Frame,5,42.338985443115234,-71.08458709716797,6.973999977111816,328275.40625,4689519.0,19,T
1697468836926227708,25,161402799999999,GPS1_Frame,5,42.338993072509766,-71.0845718383789,6.988999843597412,328276.34375,4689520.0,19,T
1697468837628910448,26,161403799999999,GPS1_Frame,5,42.33900451660156,-71.08456420898438,6.936999797821045,328277.28125,4689521.0,19,T
1697468838331885198,27,161404799999999,GPS1_Frame,5,42.339012145996094,-71.08454895019531,6.926000118255615,328278.125,4689522.0,19,T
1697468839034569066,28,161405799999999,GPS1_Frame,5,42.339019775390625,-71.08454132080078,6.9039998054504395,328279.0,4689522.5,19,T
1697468839737750422,29,161406799999999,GPS1_Frame,5,42.339027404785156,-71.08453369140625,6.916999816894531,328279.90625,4689523.5,19,T
1697468840440945813,30,161407799999999,GPS1_Frame,5,42.33903503417969,-71.08451843261719,6.939000129699707,328280.875,4689524.5,19,T
1697468841143949899,31,161408799999999,GPS1_Frame,5,42.33904266357422,-71.08451080322266,6.916999816894531,328281.78125,4689525.5,19,T
1697468841846810146,32,161409799999999,GPS1_Frame,5,42.339054107666016,-71.0844955444336,6.888999938964844,328282.65625,4689526.5,19,T
1697468842550115110,33,161410799999999,GPS1_Frame,5,42.33905792236328,-71.08448791503906,6.918000221252441,328283.59375,4689527.0,19,T
1697468843253561025,34,161411799999999,GPS1_Frame,5,42.33906936645508,-71.08447265625,6.915999889373779,328284.5625,4689528.0,19,T
1697468843956441319,35,161412799999999,GPS1_Frame,5,42.33907699584961,-71.08446502685547,6.888999938964844,328285.5625,4689529.0,19,T
1697468844659515028,36,161413799999999,GPS1_Frame,5,42.33908462524414,-71.0844497680664,6.885000228881836,328286.5,4689530.0,19,T
1697468845362349996,37,161414799999999,GPS1_Frame,5,42.33909606933594,-71.08444213867188,6.883999824523926,328287.375,4689531.0,19,T
1697468846065474560,38,161415799999999,GPS1_Frame,5,42.33910369873047,-71.08443450927734,6.909999847412109,328288.125,4689532.0,19,T
1697468846768392682,39,161416799999999,GPS1_Frame,4,42.339111328125,-71.08442687988281,6.831999778747559,328288.53125,4689532.5,19,T
1697468847471717333,40,161417799999999,GPS1_Frame,5,42.33911895751953,-71.08443450927734,6.88100004196167,328287.9375,4689533.5,19,T
1697468848173218862,41,161418799999999,GPS1_Frame,5,42.33912658691406,-71.0844497680664,6.918000221252441,328287.15625,4689534.5,19,T
1697468848876684656,42,161419799999999,GPS1_Frame,5,42.339134216308594,-71.08445739746094,6.927999973297119,328286.3125,4689535.5,19,T
1697468849579413332,43,161420799999999,GPS1_Frame,5,42.339141845703125,-71.08446502685547,6.894999980926514,328285.375,4689536.0,19,T
1697468850282327668,44,161421799999999,GPS1_Frame,5,42.339149475097656,-71.08448028564453,6.874000072479248,328284.40625,4689537.0,19,T
1697468850985529115,45,161422799999999,GPS1_Frame,5,42.33915710449219,-71.0844955444336,6.868000030517578,328283.4375,4689538.0,19,T
1697468851688675421,46,161423799999999,GPS1_Frame,5,42.33916473388672,-71.08450317382812,6.875999927520752,328282.4375,4689539.0,19,T
1697468852391577132,47,161424799999999,GPS1_Frame,5,42.33917236328125,-71.08451843261719,6.86899995803833,328281.5,4689540.0,19,T
1697468853094313155,48,161425799999999,GPS1_Frame,5,42.33917999267578,-71.08452606201172,6.803999900817871,328280.5,4689540.5,19,T
1697468853797219622,49,161426799999999,GPS1_Frame,5,42.33918762207031,-71.08454132080078,6.7729997634887695,328279.5625,4689541.5,19,T
1697468854500458886,50,161427799999999,GPS1_Frame,5,42.33919906616211,-71.08454895019531,6.75600004196167,328278.625,4689542.5,19,T
1697468855203337716,51,161428799999999,GPS1_Frame,5,42.33920669555664,-71.08456420898438,6.783999919891357,328277.6875,4689543.5,19,T
1697468855855950021,52,161429799999999,GPS1_Frame,5,42.33921432495117,-71.0845718383789,6.793000221252441,328276.8125,4689544.5,19,T
1697468856558670546,53,161430799999999,GPS1_Frame,5,42.3392219543457,-71.08458709716797,6.7769999504089355,328275.84375,4689545.0,19,T
1697468857261879888,54,161431799999999,GPS1_Frame,5,42.339229583740234,-71.0845947265625,6.763999938964844,328274.9375,4689546.0,19,T
1697468857964892338,55,161432799999999,GPS1_Frame,5,42.339237213134766,-71.08460998535156,6.7870001792907715,328274.0,4689547.0,19,T
1697468858667041102,56,161433799999999,GPS1_Frame,5,42.3392448425293,-71.08462524414062,6.763000011444092,328273.0,4689547.5,19,T
1697468859370060609,57,161434799999999,GPS1_Frame,5,42.33925247192383,-71.08463287353516,6.75,328272.0,4689548.5,19,T
1697468860072683318,58,161435799999999,GPS1_Frame,5,42.33926010131836,-71.08464813232422,6.710000038146973,328271.0625,4689549.5,19,T
1697468860775384174,59,161436799999999,GPS1_Frame,5,42.33926773071289,-71.08465576171875,6.6570000648498535,328270.0625,4689550.5,19,T
1697468861478581708,60,161437799999999,GPS1_Frame,5,42.33927536010742,-71.08467102050781,6.684999942779541,328269.09375,4689551.5,19,T
1697468862132023196,61,161438799999999,GPS1_Frame,5,42.33928298950195,-71.08467864990234,6.699999809265137,328268.1875,4689552.0,19,T
1697468862833806979,62,161439799999999,GPS1_Frame,5,42.339290618896484,-71.0846939086914,6.6570000648498535,328267.25,4689553.0,19,T
1697468863538225556,63,161440799999999,GPS1_Frame,5,42.339298248291016,-71.08470153808594,6.645999908447266,328266.3125,4689554.0,19,T
1697468864241550668,64,161441799999999,GPS1_Frame,5,42.33930587768555,-71.084716796875,6.699999809265137,328265.375,4689555.0,19,T
1697468864944912117,65,161442799999999,GPS1_Frame,5,42.33931350708008,-71.08472442626953,6.699999809265137,328264.46875,4689555.5,19,T
1697468865648112695,66,161443799999999,GPS1_Frame,5,42.33932113647461,-71.0847396850586,6.665999889373779,328263.53125,4689556.5,19,T
1697468866351248244,67,161444799999999,GPS1_Frame,5,42.33932876586914,-71.08474731445312,6.64900016784668,328262.6875,4689557.5,19,T
1697468867054172802,68,161445799999999,GPS1_Frame,5,42.33933639526367,-71.08476257324219,6.6529998779296875,328261.78125,4689558.5,19,T
1697468867757401687,69,161446799999999,GPS1_Frame,5,42.3393440246582,-71.08477020263672,6.64300012588501,328260.875,4689559.5,19,T
1697468868460382846,70,161447799999999,GPS1_Frame,5,42.339351654052734,-71.08478546142578,6.581999778747559,328259.96875,4689560.0,19,T
1697468869163225322,71,161448799999999,GPS1_Frame,5,42.339359283447266,-71.08479309082031,6.560999870300293,328259.0,4689561.0,19,T
1697468869866464465,72,161449799999999,GPS1_Frame,5,42.3393669128418,-71.08480834960938,6.559000015258789,328258.09375,4689562.0,19,T
1697468870569998019,73,161450799999999,GPS1_Frame,5,42.33937454223633,-71.0848159790039,6.609000205993652,328257.1875,4689563.0,19,T
1697468871273113036,74,161451799999999,GPS1_Frame,5,42.33938217163086,-71.08483123779297,6.578999996185303,328256.3125,4689563.5,19,T
1697468871976014701,75,161452799999999,GPS1_Frame,5,42.33938980102539,-71.0848388671875,6.535999774932861,328255.375,4689564.5,19,T
1697468872678424119,76,161453799999999,GPS1_Frame,5,42.33940124511719,-71.08485412597656,6.546000003814697,328254.53125,4689565.5,19,T
1697468873381596804,77,161454799999999,GPS1_Frame,5,42.33940887451172,-71.0848617553711,6.551000118255615,328253.65625,4689566.5,19,T
1697468874084442639,78,161455799999999,GPS1_Frame,5,42.33941650390625,-71.08487701416016,6.5320000648498535,328252.75,4689567.5,19,T
1697468874787800189,79,161456799999999,GPS1_Frame,5,42.33942413330078,-71.08488464355469,6.521999835968018,328251.8125,4689568.5,19,T
1697468875490723125,80,161457799999999,GPS1_Frame,5,42.33943176269531,-71.08489990234375,6.510000228881836,328250.90625,4689569.5,19,T
1697468876193547868,81,161458799999999,GPS1_Frame,5,42.33943557739258,-71.08490753173828,6.515999794006348,328249.96875,4689570.0,19,T
1697468876896611988,82,161459799999999,GPS1_Frame,5,42.33943557739258,-71.08491516113281,6.543000221252441,328249.125,4689569.5,19,T
1697468877600147880,83,161500799999999,GPS1_Frame,5,42.33942794799805,-71.08493041992188,6.494999885559082,328248.21875,4689569.0,19,T
1697468878302452224,84,161501799999999,GPS1_Frame,5,42.339420318603516,-71.0849380493164,6.48799991607666,328247.34375,4689568.0,19,T
1697468879005352044,85,161502799999999,GPS1_Frame,5,42.339412689208984,-71.08494567871094,6.534999847412109,328246.5625,4689567.5,19,T
1697468879708422803,86,161503799999999,GPS1_Frame,5,42.33940505981445,-71.0849609375,6.526000022888184,328245.71875,4689566.5,19,T
1697468880411483337,87,161504799999999,GPS1_Frame,5,42.33939743041992,-71.08496856689453,6.501999855041504,328244.875,4689565.5,19,T
1697468881114587645,88,161505799999999,GPS1_Frame,5,42.33938980102539,-71.08497619628906,6.499000072479248,328244.09375,4689564.5,19,T
1697468881817720947,89,161506799999999,GPS1_Frame,5,42.339378356933594,-71.0849838256836,6.505000114440918,328243.3125,4689563.5,19,T
1697468882520648812,90,161507799999999,GPS1_Frame,5,42.33937072753906,-71.08499908447266,6.492000102996826,328242.4375,4689562.5,19,T
1697468883223777962,91,161508799999999,GPS1_Frame,5,42.33936309814453,-71.08500671386719,6.4710001945495605,328241.59375,4689561.5,19,T
1697468883926642441,92,161509799999999,GPS1_Frame,5,42.33935546875,-71.08501434326172,6.485000133514404,328240.75,4689561.0,19,T
1697468884629789575,93,161510799999999,GPS1_Frame,5,42.3393440246582,-71.08502960205078,6.501999855041504,328239.90625,4689560.0,19,T
1697468885333058142,94,161511799999999,GPS1_Frame,5,42.33933639526367,-71.08503723144531,6.479000091552734,328239.03125,4689559.0,19,T
1697468886036230502,95,161512799999999,GPS1_Frame,5,42.33932876586914,-71.08504486083984,6.440000057220459,328238.09375,4689558.0,19,T
1697468886739567778,96,161513799999999,GPS1_Frame,5,42.339317321777344,-71.0850601196289,6.392000198364258,328237.21875,4689557.0,19,T
1697468887442730262,97,161514799999999,GPS1_Frame,5,42.33930969238281,-71.08506774902344,6.416999816894531,328236.34375,4689556.0,19,T
1697468888145920531,98,161515799999999,GPS1_Frame,5,42.33930206298828,-71.0850830078125,6.427999973297119,328235.5,4689555.0,19,T
1697468888849503994,99,161516799999999,GPS1_Frame,5,42.33929443359375,-71.08509063720703,6.413000106811523,328234.5625,4689554.0,19,T
1697468889552440517,100,161517799999999,GPS1_Frame,5,42.33928298950195,-71.08509826660156,6.373000144958496,328233.625,4689553.5,19,T
1697468890254969890,101,161518799999999,GPS1_Frame,5,42.33927536010742,-71.08511352539062,6.340000152587891,328232.75,4689552.5,19,T
1697468890958196203,102,161519799999999,GPS1_Frame,5,42.33926773071289,-71.08512115478516,6.348999977111816,328231.875,4689551.5,19,T
1697468891661139914,103,161520799999999,GPS1_Frame,5,42.339256286621094,-71.08512878417969,6.322000026702881,328230.96875,4689550.5,19,T
1697468892363834713,104,161521799999999,GPS1_Frame,5,42.33924865722656,-71.08514404296875,6.295000076293945,328230.09375,4689549.5,19,T
1697468893066046138,105,161522799999999,GPS1_Frame,5,42.339237213134766,-71.08515167236328,6.248000144958496,328229.09375,4689548.5,19,T
1697468893768821937,106,161523799999999,GPS1_Frame,5,42.339229583740234,-71.08516693115234,6.236000061035156,328228.15625,4689547.5,19,T
1697468894471410373,107,161524799999999,GPS1_Frame,5,42.3392219543457,-71.08517456054688,6.25600004196167,328227.21875,4689546.5,19,T
1697468895173884293,108,161525799999999,GPS1_Frame,5,42.33921432495117,-71.08518981933594,6.258999824523926,328226.34375,4689545.5,19,T
1697468895826780608,109,161526799999999,GPS1_Frame,5,42.33920669555664,-71.08519744873047,6.24399995803833,328225.40625,4689545.0,19,T
1697468896529624732,110,161527799999999,GPS1_Frame,5,42.33919906616211,-71.08521270751953,6.2129998207092285,328224.46875,4689544.0,19,T
1697468897232666955,111,161528799999999,GPS1_Frame,5,42.33919143676758,-71.08522033691406,6.23199987411499,328223.59375,4689543.0,19,T
1697468897935279517,112,161529799999999,GPS1_Frame,5,42.33917999267578,-71.0852279663086,6.248000144958496,328222.65625,4689542.0,19,T
1697468898638318108,113,161530799999999,GPS1_Frame,5,42.33917236328125,-71.08524322509766,6.203999996185303,328221.625,4689541.0,19,T
1697468899341537930,114,161531799999999,GPS1_Frame,5,42.33916473388672,-71.08525085449219,6.160999774932861,328220.6875,4689540.0,19,T
1697468900044658017,115,161532799999999,GPS1_Frame,5,42.33915328979492,-71.08526611328125,6.164000034332275,328219.78125,4689539.0,19,T
1697468900746461481,116,161533799999999,GPS1_Frame,5,42.33914566040039,-71.08527374267578,6.15500020980835,328218.875,4689538.0,19,T
1697468901450021978,117,161534799999999,GPS1_Frame,5,42.33913803100586,-71.08528900146484,6.181000232696533,328218.0,4689537.0,19,T
1697468902153345082,118,161535799999999,GPS1_Frame,5,42.33912658691406,-71.08529663085938,6.144000053405762,328217.125,4689536.5,19,T
1697468902856651428,119,161536799999999,GPS1_Frame,5,42.33911895751953,-71.0853042602539,6.1620001792907715,328216.65625,4689535.5,19,T
1697468903558555047,120,161537799999999,GPS1_Frame,5,42.339111328125,-71.08529663085938,6.1539998054504395,328216.875,4689534.5,19,T
1697468904262532382,121,161538799999999,GPS1_Frame,5,42.339107513427734,-71.08528900146484,6.1529998779296875,328217.59375,4689534.0,19,T
1697468904965761357,122,161539799999999,GPS1_Frame,5,42.3390998840332,-71.08528137207031,6.133999824523926,328218.46875,4689533.0,19,T
1697468905668969474,123,161540799999999,GPS1_Frame,5,42.33909225463867,-71.08526611328125,6.131999969482422,328219.40625,4689532.0,19,T
1697468906372213047,124,161541799999999,GPS1_Frame,5,42.33908462524414,-71.08525848388672,6.159999847412109,328220.3125,4689531.5,19,T
1697468907075170848,125,161542799999999,GPS1_Frame,5,42.33907699584961,-71.08524322509766,6.164000034332275,328221.28125,4689530.5,19,T
1697468907778749160,126,161543799999999,GPS1_Frame,5,42.33906936645508,-71.08523559570312,6.130000114440918,328222.25,4689529.5,19,T
1697468908482151094,127,161544799999999,GPS1_Frame,5,42.33906173706055,-71.08522033691406,6.103000164031982,328223.1875,4689528.5,19,T
1697468909185697792,128,161545799999999,GPS1_Frame,5,42.339054107666016,-71.085205078125,6.080999851226807,328224.1875,4689527.5,19,T
1697468909888857089,129,161546799999999,GPS1_Frame,5,42.339046478271484,-71.08519744873047,6.080999851226807,328225.21875,4689527.0,19,T
1697468910592413691,130,161547799999999,GPS1_Frame,5,42.33903503417969,-71.0851821899414,6.059999942779541,328226.25,4689526.0,19,T
1697468911295415567,131,161548799999999,GPS1_Frame,5,42.339027404785156,-71.08517456054688,6.050000190734863,328227.1875,4689525.0,19,T
1697468911998228130,132,161549799999999,GPS1_Frame,5,42.339019775390625,-71.08515930175781,6.0370001792907715,328228.09375,4689524.0,19,T
1697468912701302056,133,161550799999999,GPS1_Frame,5,42.33901596069336,-71.08514404296875,6.031000137329102,328229.09375,4689523.5,19,T
1697468913404532387,134,161551799999999,GPS1_Frame,5,42.33900451660156,-71.08513641357422,6.0279998779296875,328230.03125,4689522.5,19,T
1697468914107544976,135,161552799999999,GPS1_Frame,5,42.3390007019043,-71.08512115478516,5.994999885559082,328231.0625,4689521.5,19,T
1697468914810180704,136,161553799999999,GPS1_Frame,5,42.338993072509766,-71.08511352539062,5.949999809265137,328232.0625,4689520.5,19,T
1697468915513290704,137,161554799999999,GPS1_Frame,5,42.338985443115234,-71.08509826660156,5.960000038146973,328233.0625,4689520.0,19,T
1697468916216202734,138,161555799999999,GPS1_Frame,5,42.3389778137207,-71.0850830078125,5.9710001945495605,328234.0,4689519.0,19,T
1697468916919070315,139,161556799999999,GPS1_Frame,5,42.338966369628906,-71.08507537841797,5.960000038146973,328234.875,4689518.0,19,T
1697468917621595986,140,161557799999999,GPS1_Frame,5,42.338958740234375,-71.0850601196289,5.948999881744385,328235.84375,4689517.0,19,T
1697468918273673030,141,161558799999999,GPS1_Frame,5,42.338951110839844,-71.08505249023438,5.909999847412109,328236.75,4689516.5,19,T
1697468918976310762,142,161559799999999,GPS1_Frame,5,42.33894348144531,-71.08503723144531,5.928999900817871,328237.6875,4689515.5,19,T
1697468919628879930,143,161600799999999,GPS1_Frame,5,42.33893585205078,-71.08502960205078,5.949999809265137,328238.625,4689514.5,19,T
1697468920331569154,144,161601799999999,GPS1_Frame,5,42.33892822265625,-71.08502197265625,5.929999828338623,328239.4375,4689513.5,19,T
1697468921035074780,145,161602799999999,GPS1_Frame,5,42.33892059326172,-71.08500671386719,5.910999774932861,328240.28125,4689513.0,19,T
1697468921738400883,146,161603799999999,GPS1_Frame,5,42.33891296386719,-71.08499908447266,5.909999847412109,328241.25,4689512.0,19,T
1697468922441441034,147,161604799999999,GPS1_Frame,5,42.338905334472656,-71.0849838256836,5.915999889373779,328242.15625,4689511.0,19,T
1697468923144582860,148,161605799999999,GPS1_Frame,5,42.338897705078125,-71.08497619628906,5.909999847412109,328243.0,4689510.0,19,T
1697468923847962258,149,161606799999999,GPS1_Frame,5,42.338890075683594,-71.0849609375,5.894999980926514,328243.96875,4689509.5,19,T
1697468924550912676,150,161607799999999,GPS1_Frame,5,42.33888626098633,-71.08495330810547,5.90500020980835,328244.9375,4689508.5,19,T
1697468925253747301,151,161608799999999,GPS1_Frame,5,42.3388786315918,-71.0849380493164,5.933000087738037,328245.78125,4689507.5,19,T
1697468925956738644,152,161609799999999,GPS1_Frame,5,42.338871002197266,-71.08493041992188,5.89900016784668,328246.71875,4689507.0,19,T
1697468926659635775,153,161610799999999,GPS1_Frame,5,42.338863372802734,-71.08492279052734,5.877999782562256,328247.5,4689506.0,19,T
1697468927362536770,154,161611799999999,GPS1_Frame,5,42.3388557434082,-71.08490753173828,5.894999980926514,328248.3125,4689505.0,19,T
1697468928065693418,155,161612799999999,GPS1_Frame,5,42.33884811401367,-71.08489990234375,5.960999965667725,328249.25,4689504.5,19,T
1697468928768891797,156,161613799999999,GPS1_Frame,5,42.33884048461914,-71.08488464355469,5.922999858856201,328250.125,4689503.5,19,T
1697468929472398162,157,161614799999999,GPS1_Frame,5,42.338829040527344,-71.08487701416016,5.866000175476074,328251.0,4689502.5,19,T
1697468930175595366,158,161615799999999,GPS1_Frame,5,42.33882522583008,-71.0848617553711,5.861000061035156,328251.9375,4689501.5,19,T
1697468930878194898,159,161616799999999,GPS1_Frame,5,42.33881759643555,-71.08485412597656,5.86299991607666,328252.875,4689501.0,19,T
1697468931580952939,160,161617799999999,GPS1_Frame,5,42.338809967041016,-71.0848388671875,5.875,328253.71875,4689500.0,19,T
1697468932283804221,161,161618799999999,GPS1_Frame,5,42.338802337646484,-71.08483123779297,5.84499979019165,328254.65625,4689499.0,19,T
1697468932986170536,162,161619799999999,GPS1_Frame,5,42.33879470825195,-71.0848159790039,5.836999893188477,328255.625,4689498.5,19,T
1697468933688833105,163,161620799999999,GPS1_Frame,5,42.33879089355469,-71.08480834960938,5.883999824523926,328256.25,4689498.0,19,T
1697468934391745698,164,161621799999999,GPS1_Frame,5,42.33879089355469,-71.08480834960938,5.834000110626221,328256.5,4689498.0,19,T
1697468935094475294,165,161622799999999,GPS1_Frame,5,42.33879089355469,-71.08480834960938,5.806000232696533,328256.4375,4689498.0,19,T
1697468935798747029,166,161335799999999,GPS1_Frame,5,42.338783264160156,-71.08483123779297,7.198999881744385,328254.8125,4689497.0,19,T
1697468936502439852,167,161336799999999,GPS1_Frame,4,42.33878707885742,-71.08483123779297,7.111000061035156,328254.6875,4689497.5,19,T
1697468937205703514,168,161337799999999,GPS1_Frame,5,42.33879089355469,-71.0848159790039,7.1570000648498535,328255.5,4689497.5,19,T
1697468937908003342,169,161338799999999,GPS1_Frame,4,42.33879852294922,-71.0848159790039,7.0920000076293945,328255.90625,4689498.5,19,T
1697468938610845660,170,161339799999999,GPS1_Frame,4,42.33880615234375,-71.08480834960938,7.111999988555908,328256.59375,4689499.5,19,T
